Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,44.0,1.0,44.0,44.0,0.1,25.90600000000002,0.0,0.0,0.0077626705169677734,,,,,,,,,,,,,,,,,,,,,8.67769272730237,8.757653872898572,25.575306557807753,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,71.0,2.0,27.0,71.0,0.1,11.804999999999994,0.0,0.0,3.3421499729156494,,,,,,,,,,,,,,,,,,,,,3.4623517878090504,4.019234059227667,11.734974716186816,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,143.0,3.0,72.0,143.0,0.1,41.00500000000002,0.0,0.0,10.67729663848877,,,,,,,,,,,,,,,,,,,,,14.819245446836987,11.967220212635683,40.018010330478354,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,196.0,4.0,53.0,196.0,0.1,32.40599999999999,0.0,0.0,15.964380741119385,,,,,,,,,,,,,,,,,,,,,12.29471861751597,10.104398444484412,31.81798406341442,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,236.0,5.0,40.0,236.0,0.1,24.606000000000016,0.0,0.0,20.206206560134888,,,,,,,,,,,,,,,,,,,,,8.61596002499435,8.383223495147556,24.309957203449923,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,264.0,6.0,28.0,264.0,0.1,12.205999999999994,0.0,0.0,23.383107662200928,,,,,,,,,,,,,,,,,,,,,3.552475177916659,4.144059881009181,12.130780124487186,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,310.0,7.0,46.0,310.0,0.1,31.705000000000016,0.0,0.0,28.59114360809326,,,,,,,,,,,,,,,,,,,,,11.953247867769365,10.712494570454067,31.217554489507137,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,388.0,8.0,78.0,388.0,0.1,57.107,0.0,0.0,36.20330309867859,,,,,,,,,,,,,,,,,,,,,21.886371147943212,18.635252176311393,55.51082919802729,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,458.0,9.0,70.0,458.0,0.1,29.605000000000043,0.0,0.0,43.120813608169556,,,,,,,,,,,,,,,,,,,,,11.698982207841754,7.908044888969771,28.843729861444114,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,506.0,10.0,48.0,506.0,0.1,25.30600000000001,0.0,0.0,47.883740186691284,,,,,,,,,,,,,,,,,,,,,9.885562300525478,7.912160755714493,24.881230589523234,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
